date,open_proxy,observed_close,anchor_available_at,scheduled_close,close,previous_close,spy_return,spy_vol_prior14,prior_sessions,eligible
2025-10-30,685.05,679.83,2025-10-30 10:00:00,2025-10-30 16:00:00,679.83,687.39,-0.010998123336097287,0.010399946001457036,160,True
2025-10-31,683.55,682.06,2025-10-31 10:00:00,2025-10-31 16:00:00,682.06,679.83,0.0032802318226614613,0.007451278804223497,161,True
2025-11-03,682.52,683.34,2025-11-03 10:00:00,2025-11-03 16:00:00,683.34,682.06,0.0018766677418409206,0.006544318270729556,162,True
2025-11-04,678.8,675.24,2025-11-04 10:00:00,2025-11-04 16:00:00,675.24,683.34,-0.01185354289226448,0.006477505776063212,163,True
2025-11-05,677.17,677.58,2025-11-05 10:00:00,2025-11-05 16:00:00,677.58,675.24,0.0034654345121734043,0.0074474858099721946,164,True
2025-11-06,674.05,670.31,2025-11-06 10:00:00,2025-11-06 16:00:00,670.31,677.58,-0.010729360370731245,0.00710652017992461,165,True
2025-11-07,666.345,670.97,2025-11-07 10:00:00,2025-11-07 16:00:00,670.97,670.31,0.000984619056854319,0.007747805724679119,166,True
2025-11-10,678.525,681.44,2025-11-10 10:00:00,2025-11-10 16:00:00,681.44,670.97,0.015604274408691943,0.007228672868292645,167,True
2025-11-11,680.645,683.0,2025-11-11 10:00:00,2025-11-11 16:00:00,683.0,681.44,0.002289269781638792,0.008346826419926567,168,True
2025-11-12,683.61,683.38,2025-11-12 10:00:00,2025-11-12 16:00:00,683.38,683.0,0.0005563689604686228,0.00814939154007631,169,True
2025-11-13,678.72,672.04,2025-11-13 10:00:00,2025-11-13 16:00:00,672.04,683.38,-0.016593988703210605,0.008057814308636137,170,True
2025-11-14,668.75,671.93,2025-11-14 10:00:00,2025-11-14 16:00:00,671.93,672.04,-0.0001636807332896506,0.0090767391750213,171,True
2025-11-17,672.82,665.67,2025-11-17 10:00:00,2025-11-17 16:00:00,665.67,671.93,-0.009316446653669264,0.008363743473551906,172,True
2025-11-18,658.56,660.08,2025-11-18 10:00:00,2025-11-18 16:00:00,660.08,665.67,-0.008397554343743785,0.008531103303899452,173,True
2025-11-19,665.85,662.63,2025-11-19 10:00:00,2025-11-19 16:00:00,662.63,660.08,0.0038631681008360896,0.008643935288180415,174,True
2025-11-20,675.1099,652.53,2025-11-20 10:00:00,2025-11-20 16:00:00,652.53,662.63,-0.015242292078535558,0.008478169336839609,175,True
2025-11-21,654.83,659.03,2025-11-21 10:00:00,2025-11-21 16:00:00,659.03,652.53,0.00996122783626796,0.00905107431585446,176,True
2025-11-24,664.22,668.73,2025-11-24 10:00:00,2025-11-24 16:00:00,668.73,659.03,0.014718601581111601,0.00963344360802134,177,True
2025-11-25,668.81,675.02,2025-11-25 10:00:00,2025-11-25 16:00:00,675.02,668.73,0.009405888774243643,0.010255102181312386,178,True
2025-11-26,677.18,679.68,2025-11-26 10:00:00,2025-11-26 16:00:00,679.68,675.02,0.006903499155580528,0.010556629217447246,179,True
2025-11-28,681.265,683.39,2025-11-28 10:00:00,2025-11-28 13:00:00,683.39,679.68,0.005458451035781575,0.010253667337795556,180,True
2025-12-01,681.55,680.27,2025-12-01 10:00:00,2025-12-01 16:00:00,680.27,683.39,-0.0045654750581659576,0.010321269032777875,181,True
